,rxn
408,GALabc
409,GALt2
410,GLUabc
411,GLUABUTt7
412,GLUt2r
413,GLUt4
414,GLYBabc
415,GLYBt2r
416,GLYC3Pabc
417,GLYC3Pt6
418,H2Ot
419,HISabc
420,HISt2r
421,Ht
422,ILEabc
423,ILEt2r
424,Kabc
425,Kt2r
426,LEUabc
427,LEUt2r
428,LYSabc
429,LYSt2r
430,NAt31
431,NH3t
432,NMNP
433,NMNt7
434,O2t
435,ORNabc
436,PIabc
437,PIt2r
438,PROabc
439,PROt2r
440,PROt4
441,PTRCabc
442,PTRCORNt7
443,PTRCt2r
444,SERt2r
445,SERt4
446,SUCCabc
447,SUCCt22
448,SUCFUMt
449,SULabc
450,THRabc
451,THRt2r
452,THRt4
453,VALabc
454,VALt2r
455,XYLabc
456,XYLt2
457,biomass_ce
458,biomass_EX
459,OROTex
460,DCTA
461,EX_oro
