,weight,ASP1DC,DPCOAK,DPR,MOHMT,NNDPR,PNTK,PPCDC,QULNS,RBFSa,DCTA
0,365,1,1,1,1,1,1,1,1,1,1
1,691,1,1,1,1,1,1,1,1,1,-1
