,id,v,drg0,drg,z_drg,z_drg0,sp_drg
0,2DGLCNRx,-2.0199999539727287e-07,,6.151750510279186,1.806726928966165,,3.6772456681508574e-10
1,2DGLCNRy,2.0199999539727287e-07,,-34.76743232074831,-2.2701086078384205,,8.636644340742148e-11
2,2DGULRx,-2.0200000000000004e-07,,13.813140214105314,2.2684992091837355,,2.617452016257945e-10
3,2DGULRy,4.039999953972729e-07,,-27.10604818960182,-1.6119953324504939,,9.581515146996105e-11
4,A5PISO,0.028175258502831556,,-2.663224834253917,0.12685036217342155,,6.903758245207061e-10
5,AACPS1,0.00926949036745098,,-0.10000000000002274,-0.006428393044439134,,5.44811040817138e-08
6,AACPS2,8.079989487994245e-08,,-0.10000000000002274,-0.004922932163102683,,3.8485678452502664e-08
7,AACPS3,0.06542333000285105,,-0.10000000000002274,-0.006750855397150567,,4.2261542065237346e-07
8,AACPS4,1.1311985283191946e-07,,-0.1000000000003638,-0.006201216648271834,,1.0159901297036442e-07
9,AACPS5,8.079989487994244e-07,,-0.10000000000025011,-0.006520452748835332,,5.646660106773036e-07
10,ABTA,4.0399977004963187e-07,,-0.10000000000004405,-2.3533133845144967,,0.6497970633982602
11,ABUTD,2.0199995276470872e-07,,-58.63392947303109,-0.05030467679520467,,3.71451883264274e-11
12,ACALDi,2.1728346078881966,,-22.011040819877117,-1.7640615522825498,,1.5014990794407956e-10
13,ACCOACr,46.41263424997076,,-27.177204996613852,-1.3689434617172982,,8.901311019116876e-11
14,ACCOAL,-2.0200000000000004e-07,,15.799871317919886,0.49953537773559353,,1.7586662493313764e-10
15,ACGK,1.0201999995397274e-05,,-0.10000000000002984,-2.941778343206777,,0.6862310100936159
16,ACGS,1.0201999995397277e-05,,-30.147481590144615,0.9373819122783966,,6.563110109734922e-11
17,ACHBS,0.18515169873289308,,-6.607491693936694,1.8292576934478384,,1.4349843387057413e-10
18,ACKr,-9.113283583753844,,3.8701836009585264,-1.1546163155425333,,2.349072363178672e-10
19,ACLS,0.5568363547048062,,-0.10000000000013642,2.7895352327905094,,1.291888615769751e-10
20,ACOATA,-45.237878106325134,,26.573242007902536,-0.0059074571421416505,,7.956257562727244e-11
21,ACODA,1e-05,,-35.43584977398562,-0.7551950146134138,,8.891650233690213e-11
22,ACONT,5.187272006450798,,-0.10000000000004228,-1.6965641240583043,,0.6762785747630239
23,ACOTA,-1e-05,,12.48336962091947,0.679201941697239,,2.236992438231745e-10
24,ACS,1.8376479073544288e-07,,-18.805386372023353,-0.3713119195823225,,2.0115800502573303e-10
25,ADA,1e-05,,-43.434523371612315,-0.48900673754091195,,5.3417106530633653e-11
26,ADCL,0.033541974408132814,,-98.63797565896998,1.3203019300948409,,1.7547959018087982e-11
27,ADCS,0.033541974408132814,,-16.019388362429293,-0.40926696050192823,,1.762343860490957e-10
28,ADD,1e-05,,-46.608353993308775,-0.6627058363708973,,5.003897656673224e-11
29,ADK3,-0.5468774877425705,,7.450845403645561,0.7016842109731516,,6.490115688495644e-10
30,ADMDCr,0.004695876417138593,,-30.935816489632778,2.089521916844932,,6.106626324617536e-11
31,ADNK1,2.01999938553854e-07,,-24.201620188860183,-0.6652087737044061,,1.1346328832567199e-10
32,ADPT,0.004686080561075221,,-24.57188164525772,-0.17596489382810174,,9.749283813041887e-11
33,ADSK,0.1563451802717004,,-34.35785700416538,-1.3258674626192377,,9.194192670247397e-11
34,ADSL1r,0.2037536835714528,,-8.482333123964018,-0.6847327027211638,,6.421326936936323e-10
35,ADSL2r,0.330126149680243,,-0.10000000000002274,-0.5517355423411846,,0.3086838258248971
36,ADSS,0.20375368357145276,,-14.773117107017324,0.11125452783686507,,1.7120087239985645e-10
37,AGPR,-1.0201999995397275e-05,,27.72414896833445,0.4639107410016505,,9.537926296842918e-11
38,AICART,0.39050170361488207,,-0.10000000000002451,-1.1401561351133145,,0.38617657307336284
39,AIRC2,0.330126149680243,,-82.7082823523083,-1.3969425656008485,,3.7769308481016076e-11
40,AIRC3,-0.330126149680243,,0.0999999999999126,3.326258232003262,,0.7355654359132234
41,ALAALAr,0.018515169873289307,,-32.81910213663549,-0.05898497497608926,,7.476019560563662e-11
42,ALATAD2,1.0201999938553855e-05,,-0.1000000000000616,-0.1838253965560368,,0.008794294879832592
43,ALATAL2,-2.01999938553854e-07,,3.312999441399122,0.1530370316811302,,5.440339099752939e-09
44,ALDD2x,1e-05,,-79.9316700272782,-1.9105161847495802,,2.7099257661234345e-11
45,AMALT1,1.999020384845475e-07,,-0.10000000000005849,0.11660503819624933,,0.007818162661403965
46,AMALT3,91.03198555925368,,-0.09999999999997367,0.11659819581585214,,0.007820772342734034
47,AMALT4,3.920970069413903e-07,,-1.0908567786265169,0.020149699787761634,,1.2480640363737648e-09
48,AMPN,2.01999938553854e-07,,-35.07850470044314,0.6140861419822833,,5.5625644970284654e-11
49,ANPRT,0.03622533236078342,,-63.61874888450116,0.036928188139171425,,3.429372935503111e-11
50,ANS,0.03622533236078342,,-114.07535901555676,1.114054205531355,,1.5459518912867797e-11
51,APRAUR,6.708394881626562e-06,,-33.196319928893615,-1.0756702021262723,,6.34366368281394e-11
52,ARGSL,0.18850609817363073,,-4.0121267525083395,0.4874857512158486,,4.5821013715007164e-10
53,ARGSS,0.18850609817363073,,-27.73730003451482,-1.0751437172143314,,1.3444725958439994e-10
54,ASAD,-3.1899738563597264,,0.09999999999999076,0.6389267372185756,,0.4367394277919369
55,ASNN,2.0199999539727287e-07,,-37.584926763631216,-0.32854509974380075,,5.949472646650254e-11
56,ASNS1,1e-05,,-74.84644215516116,-0.8930702774221697,,3.0915178670039435e-11
57,ASNS2,0.15361244478924363,,-39.14108324961476,-0.16787674414468345,,6.025333939571009e-11
58,ASP1DC,3.957952980156632e-05,,-38.6191411926503,1.2210495821795617,,6.097392041721681e-11
59,ASPCT,0.5667874047676008,,-13.505185736675587,1.3406271016524953,,1.2234903334082959e-10
60,ASPK,3.1899738563597264,,-0.10000000000000675,-2.6247332336584326,,1.2265122977861842
61,ASPO3,9.528643030532104e-08,,-71.24499885690336,0.5211369935429653,,2.6871429911855833e-11
62,ASPO4,-2.0199999539727287e-07,,34.38945606571394,0.3450103881415385,,6.260176024790515e-11
63,ASPO6,1e-05,,-74.83102213778395,-0.031095736922189587,,2.818082865818636e-11
64,ASPT,1e-05,,-15.112358070432922,-1.0224429847215935,,1.9410931807895878e-10
65,ASPTA,-4.788272649463636,,17.25314862564991,1.480099975129659,,2.3758607812135797e-10
66,AST,2.019999243429993e-07,,-50.19536285899135,-3.3934462087733137,,6.631078011208412e-11
67,ATPHYD,3.15,,-53.95044977866262,0.18204878476508346,,0.0
68,ATPPRT,0.060375553934639045,,-158.497907223641,-4.147427371856344e-05,,1.5121230456521957e-11
69,BETALDHx,2.0199999539727287e-07,,-40.81919318123751,0.644701369726933,,6.919966030116805e-11
70,BETALDHy,-2.0199999539727287e-07,,0.10000000000009379,4.713525480292834,,1.317313469222465
71,BPNT,0.1563451802717004,,-28.5619941557814,0.03430532846017392,,9.073794964214865e-11
72,BSORx,-2.01999938553854e-07,,0.10000000000001563,-0.0003237717524789684,,7.809994342907809e-09
73,BSORy,2.01999938553854e-07,,-40.81919371081798,-0.0005889663318489865,,6.519538590269301e-11
74,C120SN,0.028175258502831556,,-230.75229005825486,0.005158665092815567,,4.657662198519826e-12
75,C140SN,2.019999385535709e-07,,-528.5160412107912,0.004982636859568741,,1.6764894789981302e-12
76,C141SN,0.009086520867163177,,-331.1637561388425,0.005225389087838429,,5.785845408339712e-14
77,C160SN,2.0199996696168565e-07,,-622.4098850855889,0.005010940186863345,,4.7552690553062465e-12
78,C161SN,0.012721129214028449,,-557.2815149804819,0.005111866220839367,,2.5203105045507887e-12
79,C181SN,0.09086520867163177,,-654.8732402372552,0.005109174335048723,,6.254272035958156e-12
80,CAT,1e-05,,-175.93866003591546,-0.387034058787583,,1.0539786412965645e-11
81,CBMK,-2.01999938553854e-07,,28.40020654352227,-1.675326251531163,,6.759752245342428e-11
82,CBPS,0.7552937049411702,,-61.25560456015796,-2.173395694471123,,4.187540699162692e-11
83,CDAPPAEC,2.01999938553854e-07,,-63.43147826919527,0.0148998926754512,,3.0607090153982384e-11
84,CHORM,0.20594772286593538,,-57.407711876788056,-1.0324037773605261,,4.335879311221094e-11
85,CHORS,0.27571502963485167,,-70.28995644493192,-0.44781449656104244,,3.3368451256675205e-11
