,id,v,drg0,drg,z_drg,z_drg0,sp_drg
0,2DGLCNRx,-2.0199999539727287e-07,,0.5677976296113982,1.252138759792944,,2.865481395670425e-09
1,2DGLCNRy,2.0199999539727287e-07,,-11.668194386982972,0.025342888729070118,,1.2947042676913801e-10
2,2DGULRx,-12.94080071624454,,4.882880733016981,1.424192292721428,,3.275798305747008e-10
3,2DGULRy,12.940800918244536,,-7.353111283577391,0.25647789071838806,,2.0079025691971486e-10
4,A5PISO,0.02817525850283585,,-3.3639446094062566,-0.005208096270133078,,4.730973512158189e-10
5,ACALDi,42.20911389068462,,-1.4114723552411377,0.06353046103971399,,2.7063385165093805e-10
6,ACCOAL,-2.0200000000000004e-07,,15.193019287925422,0.4414706935148023,,1.237166855061853e-10
7,ACKr,-100.0,,13.29312975540329,0.17016388737912935,,1.2778298105342866e-10
8,ACONT,42.35756310141477,,-0.1000000000000636,-1.6965641240570988,,0.6752731091022783
9,ACS,90.9726683537965,,-0.6108765411429609,1.2508802354235216,,2.1261134853578813e-10
10,ALDD2x,1e-05,,-74.32665699205998,-1.3559399506248027,,1.9554282169729154e-11
11,AMALT1,1.5589515866134576,,-0.1000000000000063,0.11660503819621816,,0.12380816590279975
12,AMALT2,-1.8486658134615248e-07,,0.10000000000000053,-0.0248398238035185,,0.18385004499785174
13,AMALT3,-1.8409272523478317e-07,,0.10000034534588997,0.13606628186538297,,0.009672114897115905
14,AMALT4,-1.558951217654151,,0.10000034534588553,0.13606804443932433,,0.009351510720131101
15,CITL,1e-05,,-28.045971870194517,-1.233659014210283,,5.745892835372779e-11
16,CS,42.35757310141478,,-44.86921276662431,-0.3682219985054521,,3.6299340589291534e-11
17,DHAPT,10.670664469307576,,-33.894873536112044,-0.20741792529616904,,4.637133784208548e-11
18,DKGLCNR1,2.0199999539727287e-07,,-16.918872756458903,0.43384184769371587,,8.918098261450266e-11
19,DKGLCNR2x,-100.0,,0.10000000000000853,1.8719305193595541,,0.32660868280822036
20,DKGLCNR2y,99.999999798,,-12.1359920395344,0.6480393594587159,,1.2374219988560465e-10
21,DRPA,2.019999243429993e-07,,-0.10000000000008713,0.07410254244263043,,0.014467461277390325
22,EDA,1e-05,,-5.3719818122985075,-0.09114174425817304,,4.464579216328301e-10
23,EDD,1e-05,,-44.17968670356972,-0.02837016001547224,,3.3499761499945944e-11
24,ENO,100.0,,-5.544224121728043,0.4543587273744117,,2.828896897902906e-10
25,F6PA,10.691675415690316,,-0.8036832862232516,0.08428677478114059,,3.862208779892714e-09
26,FBA,-2.0200000000000004e-07,,3.0807709865133313,0.1621250557495488,,4.934350750164774e-10
27,FBP,1.0202e-05,,-34.44028097710951,0.1789254487924372,,4.2849737250505454e-11
28,FRD2,2.0199999539727287e-07,,-36.62766365207812,-0.36886563831707,,4.075230729103441e-11
29,FRD3,100.0,,-12.034843878844589,-0.12237508778353114,,1.2833656761343837e-10
30,fum,-2.0200000000000004e-07,,0.4721500020495218,-0.009199458158865054,,4.148427343195756e-09
31,G1PP,91.0634496578343,,-31.562439333084995,0.6814412334820935,,4.652236844965066e-11
32,G3PD2,-2.0200000000000004e-07,,23.433870577647763,0.011524281363213956,,6.502758757237731e-11
33,G3PD5,1e-05,,-103.89257416808533,0.17442637455667118,,1.3031150523205422e-11
34,G3PD6,-0.08975465311294101,,5.867157207946777,0.3837150217092541,,2.8769580076825336e-10
35,G3PD7,2.0199999539727287e-07,,-18.72566233851932,0.16379364275957756,,7.957185281853758e-11
36,G6PDA,1.8813141886519284e-07,,-18.01464264000757,-3.661215126320803e-05,,0.0
37,G6PDH2r,1.2580653776089354,,-13.045641844492001,0.0027099421137906643,,1.174517690348874e-10
38,GALU,0.013282823667265898,,-0.10000000000000941,-0.058844839409497335,,0.11428526942289427
