,0
EX_glcn,Other
EX_glcr,Other
EX_glcur,Other
EX_gln-L,Other
EX_glu-L,Other
EX_gly,Other
EX_glyald,Other
EX_glyb,Other
EX_glyc,Other
EX_glyc3p,Other
EX_glyclt,Other
EX_gsn,Other
EX_gua,Other
EX_h,Other
EX_h2o,Other
EX_hdca,Other
EX_his-L,Other
EX_hxan,Other
EX_idon-L,Other
EX_ile-L,Other
EX_indole,Other
EX_ins,Other
EX_k,Other
EX_lac-D,Other
EX_lac-L,Other
EX_lcts,Other
EX_leu-L,Other
EX_lys-L,Other
EX_mal-L,Other
EX_malt,Other
EX_malthx,Other
EX_maltpt,Other
EX_malttr,Other
EX_maltttr,Other
EX_man,Other
EX_man6p,Other
EX_melib,Other
EX_met-D,Other
EX_met-L,Other
EX_mnl,Other
EX_na1,Other
EX_nac,Other
EX_nad,Other
EX_nh3,Other
EX_nmn,Other
EX_no2,Other
EX_no3,Other
EX_o2,Other
EX_ocdca,Other
EX_orn,Other
EX_phe-L,Other
EX_pi,Other
EX_pnto-R,Other
EX_pppn,Other
EX_pro-L,Other
EX_ptrc,Other
EX_pyr,Other
EX_rib-D,Other
EX_rmn,Other
EX_sbt-D,Other
EX_ser-D,Other
EX_ser-L,Other
EX_so4,Other
EX_spmd,Other
EX_succ,Other
EX_sucr,Other
EX_tartr-L,Other
EX_taur,Other
EX_thm,Other
EX_thr-L,Other
EX_thymd,Other
EX_tma,Other
EX_tmao,Other
EX_tre,Other
EX_trp-L,Other
EX_tsul,Other
EX_ttdca,Other
EX_tyr-L,Other
EX_ura,Other
EX_urea,Other
EX_uri,Other
EX_val-L,Other
EX_xan,Other
EX_xtsn,Other
EX_xyl-D,Other
12PPDt,Other
ABUTt2,Other
ACACt2,Other
ACALDt,Other
ACGApts,Other
ACMANApts,Other
ACNAMt2,Other
ACt2r,Other
ADEt2r,Other
ADNt2,Other
AKGt2r,Other
ALAabc,Other
ALARi,Other
ALLTNt2r,Other
ARBabc,Other
ARBt2r,Other
ARGabc,Other
ARGORNt7,Other
ASNabc,Other
ASNt2r,Other
ASPabc,Other
ASPt2,Other
ATPS4r,Other
BUTt2r,Other
CADVt,Other
CBL1abc,Other
Cex,Other
CHLabc,Other
CHLt2r,Other
CITt7,Other
CO2t,Other
CRNt7,Other
CSNt2,Other
CYNTt2,Other
CYSabc,Other
CYTBD,Other
CYTBO3,Other
CYTDt2,Other
DADNt2,Other
DALAt2r,Other
DAPabc,Other
DCYTt2,Other
DDGLCNt2r,Other
DGSNt2,Other
DHAt,Other
DINSt2,Other
D-LACt2,Other
DMSOR1e,Other
DMSOR2e,Other
DSERt2r,Other
DURIt2,Other
ETOHt2r,Other
FDH2,Other
FDH3,Other
FE2abc,Other
FORt,Other
FRUpts,Other
FRUpts2,Other
FUCPt62,Other
FUCt,Other
FUMt22,Other
G6Pt62,Other
GALabc,Other
GALCTNt2r,Other
GALCTt2r,Other
GALt2,Other
GALTpts,Other
GALURt2r,Other
GAMpts,Other
GLCDe,Other
GLCNt2r,Other
GLCpts,Other
GLCRt2r,Other
GLCt2,Other
GLCURt2r,Other
GLNabc,Other
GLUabc,Other
GLUABUTt7,Other
GLUt2r,Other
GLUt4,Other
GLYALDt,Other
GLYBabc,Other
GLYBt2r,Other
GLYC3Pabc,Other
GLYC3Pt6,Other
GLYCLTt2r,Other
GLYCt,Other
GLYt2r,Other
GSNt2,Other
GUAt,Other
H2Ot,Other
HCINNMt2r,Other
HDCAt2,Other
HISabc,Other
HISt2r,Other
HPPPNt2r,Other
Ht,Other
HYD1,Other
HYD2,Other
HYD3,Other
HYXNt,Other
IDONt2r,Other
ILEabc,Other
ILEt2r,Other
INDOLEt2r,Other
INSt2,Other
Kabc,Other
Kt2r,Other
LCTSt,Other
LEUabc,Other
LEUt2r,Other
L-LACt2r,Other
LYSabc,Other
LYSt2r,Other
MALt22,Other
MALTabc,Other
MALTHXabc,Other
MALTPTabc,Other
MALTpts,Other
MALTTRabc,Other
MALTTTRabc,Other
MAN6Pt62,Other
MANpts,Other
MELIBt2,Other
METabc,Other
METDabc,Other
MNLpts,Other
NACUP,Other
NADH6,Other
NADH7,Other
NADH8,Other
NAt31,Other
NH3t,Other
NMNP,Other
NMNt7,Other
NO2t2r,Other
NO3R1,Other
NO3R2,Other
NO3t7,Other
O2t,Other
OCDCAt2,Other
ORNabc,Other
PHEt2r,Other
PIabc,Other
PIt2r,Other
PNTOt4,Other
PPPNt2r,Other
PROabc,Other
PROt2r,Other
PROt4,Other
PTRCabc,Other
PTRCORNt7,Other
PTRCt2r,Other
PYRt2r,Other
RIBabc,Other
RMNt,Other
SBTpts,Other
SERt2r,Other
SERt4,Other
SPMDabc,Other
SUCCabc,Other
SUCCt22,Other
SUCFUMt,Other
SUCpts,Other
SULabc,Other
TARTRt7,Other
TAURabc,Other
THD2,Other
THMabc,Other
THMDt2,Other
THRabc,Other
THRt2r,Other
THRt4,Other
TMAOR1e,Other
TMAOR2e,Other
TREpts,Other
TRPt2r,Other
TSULabc,Other
TTDCAt2,Other
TYRt2r,Other
URAt2,Other
UREAt,Other
URIt2,Other
VALabc,Other
VALt2r,Other
XANt,Other
XTSNt2r,Other
XYLabc,Other
XYLt2,Other
biomass_ce,Other
biomass_EX,Other
HBZt3,Other
EX_4hbz,Other
IPMex,Other
EX_3c3hmp,Other
OROTex,Other
DCTA,Other
EX_oro,Other
