,lb,ub
2dhglcn_c,9.999999999999958e-05,1.0000000000000002
nadh_c,9.999999999999958e-05,2.8331401300858743
glcn_c,9.999999999999958e-05,0.75100946092248
nad_c,0.0001166639506420133,21.6802092686359
nadph_c,9.999999999999958e-05,2.8197358694660357
nadp_c,9.999998302673947e-05,0.06950785924102032
2dhguln_c,9.999999999999958e-05,1.0000000000000002
idon-L_c,9.999999999999958e-05,1.0000000000000002
o2_c,0.09999999999999956,0.24709787183285953
h2o_c,999.9999890674358,1000.0000109325642
pi_c,19.999999999999993,24.999999999999968
5dglcn_c,9.999999999999958e-05,0.9999999999999986
ru5p-D_c,0.0856476106296137,3.162955304435509
ara5p_c,9.999999999999958e-05,1.0000000000000002
ACP_c,9.999999999999958e-05,1.0000000000000002
atp_c,1.6207718114066627,44.59032086276159
ttdca_c,9.999999999999958e-05,1.0000000000000002
amp_c,0.00010000000000000029,2.0997531815128614
myrsACP_c,9.999999999999958e-05,1.0000000000000002
ppi_c,9.999999999999958e-05,1.0000000000000002
ttdcea_c,9.999999999999958e-05,1.0000000000000002
tdeACP_c,9.999999999999958e-05,1.0000000000000002
hdca_c,9.999999878287967e-05,1.0000000000000002
palmACP_c,9.999999999999958e-05,1.0000000000000002
hdcea_c,9.999999999999958e-05,1.0000000000000002
hdeACP_c,9.999999999999958e-05,1.0000000000000002
ocdcea_c,9.999999999999958e-05,1.0000000000000002
octeACP_c,9.999999999999958e-05,1.0000000000000002
dtdp_c,0.7920570976154985,1.6723844264994896
g6p_c,0.25208455020789217,5.261489418385105
4abut_c,9.999999999999958e-05,1.0000000000000002
akg_c,0.04840461057148078,3.243911862658026
glu-L_c,0.00010000000000000029,394.6431415905306
sucsal_c,9.999999999999958e-05,1.0000000000000002
4abutn_c,9.999999999999958e-05,1.0000000000000002
accoa_c,9.999999999999958e-05,3.019743433845718
ac_c,0.00048291167244015704,1.0000000000000002
coa_c,9.999999999999958e-05,94.45831618726818
acald_c,9.999999999999958e-05,1.0000000000000002
gtp_c,9.999999999999958e-05,46.054894206678256
co2tot_c,0.20000000033025656,0.3999999999999997
adp_c,0.007328521442919222,2.7252939115855552
malcoa_c,9.999999999999958e-05,6.254905774659005
ppa_c,9.999999999999958e-05,1.0000000000000002
ppcoa_c,0.008585566440419901,0.027807102002743094
uacgam_c,1.9891701059351896,48.07363043748239
udcpp_c,9.999999999999958e-05,1.0000000000000002
ump_c,0.00010000000000000029,1.0000000000000002
acglu_c,9.999999999999958e-05,1.0000000000000002
acg5p_c,9.999999825809414e-05,0.9999999999999986
2obut_c,9.999999999999958e-05,1.0000000000000002
pyr_c,0.00010000000000000029,16.54093737387236
2ahbut_c,9.999999999999958e-05,1.0000000000000002
actp_c,9.999999999999958e-05,4.9183975755305696
alac-S_c,9.999999999999958e-05,1.0000000000000002
udp_c,2.4224834769649455,10.133264217369671
acACP_c,9.999999999999958e-05,1.0000000000000002
acorn_c,9.999999999999958e-05,2.643720488381648
orn_c,9.999999999999958e-05,0.23316039947858974
amet_c,9.999999999999958e-05,5.425505086089706
cit_c,0.00010000000000000029,58.453682937569255
icit_c,0.00580806166520406,0.4330126154795902
acg5sa_c,9.999999999999958e-05,0.9999999999999986
pap_c,0.00010000000000000029,1.0000000000000002
adn_c,0.0002070985874424925,0.0006919119473422747
ins_c,9.999999999999958e-05,1.0000000000000002
nh3_c,0.050000000082517766,1.0000000000000002
4adcho_c,9.999999999999958e-05,1.0000000000000002
4abz_c,9.999999999999958e-05,1.0000000000000002
chor_c,9.999999999999958e-05,1.0000000000000002
gln-L_c,9.999999999999958e-05,16.367596694852978
ade_c,0.0029568548321777994,0.09141525331664885
hxan_c,9.999999999999958e-05,1.0000000000000002
gdp_c,9.999999999999958e-05,3.5011219532279245
ametam_c,9.999999999999958e-05,1.0000000000000002
gmp_c,0.011773020057740832,1.0829159384122453
prpp_c,9.999999999999958e-05,1.0000000000000002
aps_c,0.011566171110607117,0.03321019014989537
paps_c,9.999999999999958e-05,1.0000000000000002
dcamp_c,0.00010000000000000029,1.0000000000000002
fum_c,9.999999999999958e-05,12.13488642799865
25aics_c,9.999999999999958e-05,1.0000000000000002
aicar_c,9.999999999999958e-05,1.0000000000000002
asp-L_c,0.00010000000000000029,30.459167247132726
imp_c,0.3455601430376452,1.5773850744616515
gam6p_c,0.00010000000000000029,5.405067300319653
adphep-DD_c,0.00012140938102581278,1.0000000000000002
adphep-LD_c,9.999999999999958e-05,0.823659572776197
ptrc_c,9.999999999999958e-05,1.0000000000000002
hcys-L_c,0.8668690873452969,1.4843648755912613
10fthf_c,0.00010000000000000029,0.9999999999999986
fprica_c,9.999999999999958e-05,0.9999999999999986
thf_c,9.999999999999958e-05,0.9999999999999959
air_c,9.999999999999958e-05,0.9999999999999986
5caiz_c,9.999999999999958e-05,1.0000000000000002
5aizc_c,9.999999999999958e-05,0.9999999999999986
ala-D_c,9.999999999999958e-05,1.0000000000000002
alaala_c,9.999999999999958e-05,1.0000000000000002
ala-L_c,9.999999999999958e-05,11.043674674399027
pydx5p_c,9.999999999999958e-05,1.0000000000000002
pyam5p_c,9.999999954735616e-05,1.0000000000000002
glyc_c,9.999999999999958e-05,1.0000000000000002
malt_c,9.999999999999958e-05,0.9999999999999986
malttr_c,9.999999999999958e-05,1.0000000000000002
glc-D_c,9.999999999999958e-05,1.0000000000000002
maltttr_c,9.999999999999958e-05,1.0000000000000002
maltpt_c,9.999999999999958e-05,0.9999999999999986
malthx_c,9.999999999999958e-05,1.0000000000000002
malthp_c,0.00010000000000000029,1.0000000000000002
2dmmq8_c,9.999999999999958e-05,1.0000000000000002
mqn8_c,9.999999999999958e-05,1.0000000000000002
for_c,0.00010000000000000029,1.0000000000000002
r5p_c,9.999999999999958e-05,1.4003465422343375
anth_c,0.0011908847344743588,0.014329068932374388
pran_c,9.99999972119024e-05,1.0000000000000002
5apru_c,9.999999999999958e-05,1.0000000000000002
5aprbu_c,9.999999999999958e-05,1.0000000000000002
arab-L_c,9.999999999999958e-05,1.0000000000000002
arg-L_c,9.999999999999958e-05,48.51210202107233
argsuc_c,9.999999999999958e-05,1.0000000000000002
citr-L_c,0.4756995615180571,5.83850184399233
aspsa_c,9.999999999999958e-05,0.9999999999999986
4pasp_c,9.999999999999958e-05,1.0000000000000002
asn-L_c,9.999999999999958e-05,3.1418854578943662
ala-B_c,9.999999999999958e-05,1.0000000000000002
cbp_c,9.999999999999887e-05,1.0000000000000002
cbasp_c,0.00010000000000000029,3.5050802595628423
q8_c,9.999999999999958e-05,1.0000000000000002
iasp_c,0.00010000000000000029,1.0000000000000002
q8h2_c,9.999999999999958e-05,1.0000000000000002
mql8_c,9.999999999999958e-05,1.0000000000000002
succ_c,9.999999999999958e-05,6.192868797421227
h2o2_c,9.999999999999958e-05,1.0000000000000002
oaa_c,0.00010000000000000029,1.0000000000000002
succoa_c,0.00010000000000000029,10.005830987914214
sucarg_c,9.999999999999958e-05,1.0000000000000002
prbatp_c,9.999999999999958e-05,1.0000000000000002
betald_c,9.999999999999958e-05,1.0000000000000002
glyb_c,9.999999999999958e-05,1.0000000000000002
btnso_c,9.999999999999958e-05,1.0000000000000002
btn_c,9.999999999999958e-05,1.0000000000000002
