,rxn
343,SSALx
344,SSALy
345,SULR
346,TDSK
347,THDPS
348,THRAr
349,THRD
350,THRDL
351,THRS
352,TMDK1
353,TMDS
354,TRPAS1
355,TRPAS2
356,TRPS1
357,TRPS2
358,TRPS3
359,TYRTA
360,U23GAAT
361,UAAGDS
362,UAGAAT
363,UAGCVT
364,UAGDP
365,UAGPT3
366,UAMAGS
367,UAMAS
368,UAPGR
369,UDCPDP
370,UGMDDS
371,UHGADA
372,UMPK
373,UNK3
374,UPPRT
375,URIDK2r
376,URIK2
377,USHD
378,VALTA
379,VPAMT
380,XPPT
381,biomass
382,EX_ac
383,EX_co2
384,EX_glc
385,EX_h
386,EX_h2o
387,EX_nh3
388,EX_o2
389,EX_pi
390,EX_so4
391,ABUTt2
392,ACt2r
393,ALAabc
394,ALARi
395,ARBabc
396,ARBt2r
397,ARGabc
398,ARGORNt7
399,ASNabc
400,ASNt2r
401,ASPabc
402,ASPt2
403,Cex
404,CHLabc
405,CHLt2r
406,CO2t
407,FORt
408,FUMt22
409,GALabc
410,GALt2
411,GLCNt2r
412,GLCpts
413,GLCt2
414,GLUabc
415,GLUABUTt7
416,GLUt2r
417,GLUt4
418,GLYBabc
419,GLYBt2r
420,GLYC3Pabc
421,GLYC3Pt6
422,H2Ot
423,HISabc
424,HISt2r
425,Ht
426,ILEabc
427,ILEt2r
428,Kabc
429,Kt2r
430,LEUabc
431,LEUt2r
432,LYSabc
433,LYSt2r
434,NAt31
435,NH3t
436,NMNP
437,NMNt7
438,O2t
439,ORNabc
440,PIabc
441,PIt2r
442,PROabc
443,PROt2r
444,PROt4
445,PTRCabc
446,PTRCORNt7
447,PTRCt2r
448,SERt2r
449,SERt4
450,SUCCabc
451,SUCCt22
452,SUCFUMt
453,SULabc
454,THRabc
455,THRt2r
456,THRt4
457,TREpts
458,VALabc
459,VALt2r
460,XYLabc
461,XYLt2
462,biomass_ce
463,biomass_EX
464,OROTex
465,DCTA
466,EX_oro
