,lb,ub
2dhglcn_c,9.999999999999994e-05,1.0000000000000002
nadh_c,9.999999999999994e-05,2.8331401300858796
glcn_c,9.999999999999994e-05,0.751009460922482
nad_c,0.00010000000000000029,21.6802092686359
nadph_c,9.999999999999994e-05,2.8197358694660406
nadp_c,9.999999999999994e-05,0.06950785924102032
2dhguln_c,0.00010000000000000029,1.0000000000000002
idon-L_c,0.00010000000000000029,1.0000000000000002
o2_c,0.10000000000000026,0.2470978718328591
h2o_c,1000.0,1000.0
pi_c,19.999999999999993,25.0
5dglcn_c,0.00010000000000000029,1.0000000000000002
ru5p-D_c,0.0856476106296137,3.162955304435487
ara5p_c,9.999999999999958e-05,1.0000000000000002
ACP_c,9.999999999999958e-05,1.0000000000000002
atp_c,1.6207718035278498,44.59032086276161
ttdca_c,9.999999999999958e-05,1.0000000000000002
amp_c,0.00010000000000000029,2.0997531815128556
myrsACP_c,0.00010000000000000029,1.0000000000000002
ppi_c,0.00010000000000000029,1.0000000000000002
ttdcea_c,0.00010000000000000029,1.0000000000000002
tdeACP_c,0.00010000000000000029,1.0000000000000002
hdca_c,9.999999999999816e-05,1.0000000000000002
palmACP_c,0.00010000000000000029,1.0000000000000002
hdcea_c,0.00010000000000000029,1.0000000000000002
hdeACP_c,0.00010000000000000029,1.0000000000000002
ocdcea_c,0.00010000000000000029,1.0000000000000002
octeACP_c,0.00010000000000000029,1.0000000000000002
dtdp_c,0.7920570976154985,1.6723844264994927
g6p_c,0.25208454979196676,5.2614894183850875
4abut_c,9.999999999999674e-05,1.0000000000000002
akg_c,0.04840461057148078,3.2439118626580323
glu-L_c,0.00010000000000000029,394.6431415905311
sucsal_c,9.999999905752718e-05,1.0000000000000002
4abutn_c,0.00010000000000000029,1.0000000000000002
accoa_c,9.999999999999887e-05,3.0197434338456963
ac_c,0.00010000000000000029,1.0000000000000002
coa_c,0.00010000000000000029,94.45831618726811
acald_c,0.00010000000000000029,1.0000000000000002
gtp_c,9.99999999532416e-05,46.05489420667836
co2tot_c,0.2000000000000002,0.4000000000000001
adp_c,0.007328521442919209,2.7252939115855623
malcoa_c,0.00010000000000000029,6.2549057746590115
ppa_c,9.999999145177933e-05,1.0000000000000002
ppcoa_c,0.008585566440419901,0.027807102002742997
uacgam_c,1.9891701059352034,48.07363043748239
udcpp_c,9.999999999999887e-05,1.0000000000000002
ump_c,0.00010000000000000029,1.0000000000000002
acglu_c,9.999999797072153e-05,1.0000000000000002
acg5p_c,0.00010000000000000029,1.0000000000000002
2obut_c,0.00010000000000000029,1.0000000000000002
pyr_c,0.00010000000000000029,16.540937373872374
2ahbut_c,0.00010000000000000029,1.0000000000000002
actp_c,0.00010000000000000029,4.9183975755305696
alac-S_c,0.00010000000000000029,1.0000000000000002
udp_c,2.4224834769649455,10.133264217369671
acACP_c,0.00010000000000000029,1.0000000000000002
acorn_c,0.00010000000000000029,2.643720488381643
orn_c,0.00010000000000000029,0.23316039947858894
amet_c,0.00010000000000000029,5.425505086089706
cit_c,0.00010000000000000029,58.45368293756967
