,0
0,3.95413225
1,3.95413225
2,3.95413225
3,3.95413225
4,3.95413225
5,3.95413225
6,3.95413225
7,3.95413225
8,3.95413225
9,3.95413225
10,3.95413225
11,3.95413225
12,0.009357063549191988
13,3.95413225
14,3.95413225
15,0.008149358635789207
16,3.95413225
17,3.95413225
18,3.95413225
19,3.95413225
20,3.95413225
21,3.95413225
22,3.95413225
23,3.95413225
24,3.95413225
25,3.95413225
26,3.95413225
27,3.95413225
28,3.95413225
29,0.0020072304357663016
30,3.95413225
31,0.039878031052075
32,0.00019603836597912653
33,3.95413225
34,3.95413225
35,3.95413225
36,3.95413225
37,3.95413225
38,3.95413225
39,0.012084444482198968
40,3.95413225
41,0.008619240397817455
42,3.95413225
43,3.95413225
44,3.95413225
45,3.95413225
46,3.95413225
47,3.95413225
48,3.95413225
49,3.95413225
50,3.95413225
51,3.95413225
52,3.95413225
53,3.95413225
54,3.95413225
55,3.95413225
56,3.95413225
57,3.95413225
58,3.95413225
59,3.95413225
60,3.95413225
61,0.0002289836594731518
62,3.95413225
63,3.95413225
64,3.95413225
65,3.95413225
66,3.95413225
67,3.95413225
68,3.95413225
69,3.95413225
70,0.003168245397967735
71,3.95413225
72,3.95413225
73,0.007478475749620665
74,3.95413225
75,0.03352968271698076
76,3.95413225
77,3.95413225
78,3.95413225
79,3.95413225
80,0.005472770177115469
81,3.95413225
82,3.95413225
83,0.0014519690908745468
84,0.016631108501017403
85,3.95413225
86,3.95413225
87,3.95413225
88,3.95413225
89,3.95413225
90,3.95413225
91,3.95413225
92,3.95413225
93,3.95413225
94,3.95413225
95,3.95413225
96,3.95413225
97,3.95413225
98,3.95413225
99,3.95413225
100,3.95413225
101,3.95413225
102,3.95413225
103,3.95413225
104,3.95413225
105,3.95413225
106,3.95413225
107,3.95413225
108,3.95413225
109,3.95413225
110,3.95413225
111,3.95413225
112,0.026459243025629065
113,3.95413225
114,3.95413225
115,3.95413225
116,3.95413225
117,3.95413225
118,3.95413225
119,3.95413225
120,3.95413225
121,3.95413225
122,3.95413225
123,0.0049479629927504055
124,3.95413225
125,3.95413225
126,3.95413225
127,3.95413225
128,3.95413225
